district,address,type,cadastral_number,area,status,document,obj_id
Выборгский,"194356, г.Санкт-Петербург, улица Есенина, д. 22, к. 1, литера А",помещение,78:5517:0:17:5,98.8,исключен,911-рк от 28.11.2016,200023623
Центральный,"193036, г.Санкт-Петербург, Невский проспект, д. 111/3, литера А",помещение,78:31:1497:2:6:11,259.8,включен,94-р (2392) от 30.08.2013,300022017
Кировский,"г.Санкт-Петербург, Дачный проспект, д. 9, к. 1, литера А",часть помещения,78:8431:19:29:5,54.9,включен,237-р от 26.12.2008,500028895
Кировский,"г.Санкт-Петербург, Дачный проспект, д. 9, к. 1, литера А",помещение,78:15:8431:19:29:8,36.1,включен,237-р от 26.12.2008,500037244
Адмиралтейский,"190068, г.Санкт-Петербург, набережная реки Фонтанки, д. 137, литера А",помещение,78:1066:0:25:2,183.2,включен,237-р от 26.12.2008,1100042025
Центральный,"191002, г.Санкт-Петербург, улица Рубинштейна, д. 21, литера А",помещение,78:31:0001055:2683,65.1,включен,998-рк от 17.10.2019,300014387
Центральный,"191040, г.Санкт-Петербург, Лиговский проспект, д. 56, литера А",помещение,78:1521:7:11:6,285.8,исключен,219-р от 08.12.2011,300004195
Центральный,"191014, г.Санкт-Петербург, улица Жуковского, д. 18, литера А",помещение,78:31:1218:5:45:4,442.8,исключен,111-р от 24.08.2010,300038022
Кировский,"198152, г.Санкт-Петербург, проспект Стачек, д. 74/1, литера А",часть помещения,78:15:8204:1:1:5,353.8,исключен,2-р от 09.01.2014,500017200
Кировский,"г.Санкт-Петербург, проспект Стачек, д. 69, литера А",помещение,78:8221:0:3:16,73.3,включен,237-р от 26.12.2008,500001677
Невский,"193029, г.Санкт-Петербург, проспект Обуховской Обороны, д. 68, литера А",помещение,78:12:7114А:6:173:6,98.5,включен,74-р от 26.05.2010,1300046577
Петроградский,"197198, г.Санкт-Петербург, улица Блохина, д. 33, литера А",помещение,78:7:3066:1:24:6,85.2,исключен,91-р от 24.07.2009,1500041258
Кировский,"г.Санкт-Петербург, проспект Стачек, д. 16, литера А",часть помещения,78:8049:1:2:12,96.6,включен,237-р от 26.12.2008,500015509
Московский,"196070, г.Санкт-Петербург, Московский проспект, д. 179, литера А",часть помещения,78:14:7642:5:74:4,307.8,исключен,911-рк от 28.11.2016,1200003350
Кировский,"г.Санкт-Петербург, улица Лени Голикова, д. 96, литера А",часть помещения,78:15:0008437:4039,8.7,включен,237-р от 26.12.2008,500008577
Кировский,"г.Санкт-Петербург, улица Лени Голикова, д. 96, литера А",помещение,78:8437:0:36:8,59.5,исключен,911-рк от 28.11.2016,500023308
Московский,"196070, г.Санкт-Петербург, Московский проспект, д. 165, литера А",помещение,78:14:0762603:1982,15.3,включен,237-р от 26.12.2008,1200020801
Петроградский,"197136, г.Санкт-Петербург, Большой  проспект П.С., д. 74, литера А",часть помещения,78:7:3112:0:7:17,349.8,включен,237-р от 26.12.2008,1500061612
Петроградский,"197136, г.Санкт-Петербург, Ординарная улица, д. 8, литера А",помещение,78:07:0003114:1342,204.9,включен,422-рк от 12.05.2020,1500041481
Адмиралтейский,"190031, г.Санкт-Петербург, Садовая улица, д. 42, литера А",часть помещения,78:32:1060:0:1:25,122.9,включен,237-р от 26.12.2008,1100044811
Адмиралтейский,"190031, г.Санкт-Петербург, Садовая улица, д. 42, литера А",помещение,78:32:1060:1:1:6,209.1,включен,237-р от 26.12.2008,1100000654
Адмиралтейский,"190031, г.Санкт-Петербург, Садовая улица, д. 42, литера А",помещение,78:1060:1:1:17,14.1,включен,237-р от 26.12.2008,1100031453
Центральный,"191025, г.Санкт-Петербург, Невский проспект, д. 81, литера А",помещение,78:31:1045:3:6:12,437.2,исключен,61-р (1946) от 05.05.2010,300138279
Центральный,"191002, г.Санкт-Петербург, улица Рубинштейна, д. 8, литера А",часть помещения,78:31:1224:0:23:1,30.8,включен,237-р от 26.12.2008,300014372
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 32/1, литера А",помещение,78:1057:0:13:21,99.7,включен,237-р от 26.12.2008,300050360
Василеостровский,"199034, г.Санкт-Петербург, Университетская набережная, д. 21, литера В",часть здания,78:6:2030:6:16,327.9,исключен,80-рк от 08.06.2015,1400057399
Василеостровский,"199034, г.Санкт-Петербург, Университетская набережная, д. 21, литера В",часть здания,78:6:2030:6:16,394.8,исключен,80-рк от 08.06.2015,1400057402
Адмиралтейский,"198013, г.Санкт-Петербург, Подъездной переулок, д. 3, литера Б",помещение,78:1689:0:4:3,81.7,включен,237-р от 26.12.2008,1100002421
Красногвардейский,"195426, г.Санкт-Петербург, Индустриальный проспект, д. 17, к. 2, литера А",помещение,78:11:0006103:6046,117.1,включен,870-рк от 18.09.2020,700043320
Красногвардейский,"195027, г.Санкт-Петербург, Большеохтинский проспект, д. 17, литера А",помещение,78:11:0006062:3488,217.8,включен,578-рк от 26.06.2020,700004234
Выборгский,"194356, г.Санкт-Петербург, улица Асафьева, д. 9, к. 1, литера А",помещение,78:36:5511А:0:18:9,92.0,включен,237-р от 26.12.2008,200026846
Выборгский,"194356, г.Санкт-Петербург, улица Асафьева, д. 9, к. 1, литера А",помещение,78:5511А:0:18:5,5.6,исключен,58-р от 15.04.2010,200021589
Выборгский,"194356, г.Санкт-Петербург, улица Асафьева, д. 9, к. 1, литера А",часть помещения,78:5511А:0:18:8,15.9,включен,237-р от 26.12.2008,200026575
Адмиралтейский,"190068, г.Санкт-Петербург, Садовая улица, д. 107, литера А",помещение,78:32:0001075:1682,115.3,включен,237-р от 26.12.2008,1100008835
Адмиралтейский,"190068, г.Санкт-Петербург, набережная реки Фонтанки, д. 121, литера А",помещение,78:32:1061:12:135:8,375.3,включен,237-р от 26.12.2008,1100020551
Центральный,"191023, г.Санкт-Петербург, набережная реки Фонтанки, д. 75, литера А",помещение,78:31:0001057:3543,72.8,исключен,920-рк от 17.09.2019,300007578
Адмиралтейский,"198005, г.Санкт-Петербург, Измайловский проспект, д. 31, литера А",помещение,78:32:1719:2:70:2,248.3,включен,237-р от 26.12.2008,1100038916
Московский,"196066, г.Санкт-Петербург, Московский проспект, д. 195, литера А",помещение,78:14:7664:6:82:21,42.3,включен,237-р от 26.12.2008,1200040512
Московский,"196066, г.Санкт-Петербург, Московский проспект, д. 195, литера А",помещение,78:7664:6:7:9,35.6,исключен,911-рк от 28.11.2016,1200000871
Адмиралтейский,"198005, г.Санкт-Петербург, 5-я Красноармейская улица, д. 2/39, литера А",помещение,78:1671:3:3:3,89.5,включен,26-р от 23.03.2009,1100006821
Кировский,"г.Санкт-Петербург, проспект Стачек, д. 75, литера А",помещение,78:15:8221:3:17:30,167.8,включен,237-р от 26.12.2008,500002243
Невский,"192174, г.Санкт-Петербург, проспект Александровской Фермы, д. 66а, литера А",часть здания,78:7152:2006:244,133.5,исключен,132-р от 04.10.2010,1300032196
Адмиралтейский,"190031, г.Санкт-Петербург, Сенная площадь, д. 13, литера А",помещение,78:32:1147:2:1:4,133.6,исключен,911-рк от 28.11.2016,1100008987
Адмиралтейский,"190031, г.Санкт-Петербург, Сенная площадь, д. 13, литера А",помещение,78:32:1147:2:1:15,41.0,включен,237-р от 26.12.2008,1100009054
Адмиралтейский,"190031, г.Санкт-Петербург, Сенная площадь, д. 13, литера А",помещение,78:32:1147:2:1:12,211.8,исключен,911-рк от 28.11.2016,1100004514
Адмиралтейский,"190031, г.Санкт-Петербург, Сенная площадь, д. 13, литера А",помещение,78:32:1147:2:1:14,105.5,исключен,911-рк от 28.11.2016,1100007607
Адмиралтейский,"190031, г.Санкт-Петербург, Сенная площадь, д. 13, литера А",помещение,78:32:0001147:1191,145.7,включен,237-р от 26.12.2008,1100003003
Центральный,"191025, г.Санкт-Петербург, набережная реки Фонтанки, д. 38, литера А",часть помещения,78:31:1283:2002:116:4,7.9,исключен,30-р от 20.03.2012,300113661
Московский,"196084, г.Санкт-Петербург, Московский проспект, д. 93, литера Б",помещение,78:7512А:1:1:37,15.3,включен,237-р от 26.12.2008,1200022199
Московский,"196084, г.Санкт-Петербург, Московский проспект, д. 93, литера Б",помещение,78:7512А:1:1:44,14.0,включен,237-р от 26.12.2008,1200022191
Центральный,"г.Санкт-Петербург, улица Марата, д. 80, литера В",здание,78:31:1696:23:109,142.6,исключен,111-р от 24.08.2010,300014794
Невский,"193168, г.Санкт-Петербург, улица Антонова-Овсеенко, д. 3, литера Н",часть помещения,78:12:6307:2005:51:8,396.0,включен,237-р от 26.12.2008,1300031230
Адмиралтейский,"190031, г.Санкт-Петербург, Московский проспект, д. 10-12, литера А",часть помещения,78:32:1059:19:158:9,93.3,исключен,78-р от 02.06.2010,1100082327
Василеостровский,"199004, г.Санкт-Петербург, 7-я линия В.О., д. 40, литера Б",здание,78:2034:0:63,187.3,исключен,127-р от 01.09.2011,1400033566
Красногвардейский,"195248, г.Санкт-Петербург, проспект Энергетиков, д. 31, к. 3, литера Б",часть здания,78:11:6041:0:32,52.0,исключен,95-р от 23.06.2011,700030012
Василеостровский,"199026, г.Санкт-Петербург, Большой проспект В.О., д. 62, литера В",часть здания,78:6:2084:2001:43,144.6,включен,237-р от 26.12.2008,1400046960
Петроградский,"197198, г.Санкт-Петербург, Кронверкский проспект, д. 51, литера В",здание,78:7:3036:3:3,354.5,исключен,78-р от 02.06.2010,1500041073
Василеостровский,"199053, г.Санкт-Петербург, 4-я линия В.О., д. 35-37, литера А",помещение,78:6:2022:17:7:8,19.3,исключен,132-р от 04.10.2010,1400015761
Василеостровский,"199034, г.Санкт-Петербург, Академический переулок, д. 8, литера А",помещение,78:6:2030:0:14:7,36.0,исключен,97-р от 29.06.2012,1400014620
Василеостровский,"199053, г.Санкт-Петербург, 3-я линия В.О., д. 48, литера А",помещение,78:06:0002022:2944,148.2,включен,870-рк от 18.09.2020,1400014616
Петроградский,"197022, г.Санкт-Петербург, Каменноостровский проспект, д. 44/16, литера Б",помещение,78:07:0003126:2506,92.1,исключен,280-рк от 26.03.2020,1500073059
Василеостровский,"199053, г.Санкт-Петербург, 1-я линия В.О., д. 44, литера А",помещение,78:6:2014:7:1:7,186.5,включен,237-р от 26.12.2008,1400040670
Петроградский,"197022, г.Санкт-Петербург, Большой  проспект П.С., д. 98, литера А",помещение,78:7:3082:1:2:9,97.0,исключен,132-р от 04.10.2010,1500069124
Петроградский,"197022, г.Санкт-Петербург, Каменноостровский проспект, д. 35/75, литера А",помещение,78:3081:0:3:16,155.1,исключен,158-р от 23.11.2012,1500049898
Московский,"196105, г.Санкт-Петербург, Благодатная улица, д. 40, литера А",часть помещения,78:14:7615:2005:18:2,70.5,включен,237-р от 26.12.2008,1200035756
Адмиралтейский,"190000, г.Санкт-Петербург, Галерная улица, д. 9, литера А",часть помещения,78:32:1009:0:27:8,892.5,включен,237-р от 26.12.2008,1100026504
Адмиралтейский,"190000, г.Санкт-Петербург, Галерная улица, д. 9, литера А",помещение,78:32:1009:0:27:12,50.4,включен,237-р от 26.12.2008,1100052596
Адмиралтейский,"190000, г.Санкт-Петербург, Галерная улица, д. 9, литера А",помещение,78:1009:0:27:9,125.0,включен,237-р от 26.12.2008,1100005905
Адмиралтейский,"191180, г.Санкт-Петербург, набережная реки Фонтанки, д. 92, литера А",часть помещения,78:32:0001621:104,236.1,включен,237-р от 26.12.2008,1100074523
Московский,"196070, г.Санкт-Петербург, Московский проспект, д. 192-194, литера А",помещение,78:14:7636:8:18:27,3.2,включен,237-р от 26.12.2008,1200002032
Адмиралтейский,"190000, г.Санкт-Петербург, набережная канала Грибоедова, д. 91, литера А",помещение,78:32:1296:0:1:3,73.2,включен,237-р от 26.12.2008,1100024941
Петроградский,"г.Санкт-Петербург, улица Мира, д. 35, литера Ж",здание,78:7:3030:7:17,22.0,исключен,6-р от 29.01.2009,1500040821
Адмиралтейский,"190031, г.Санкт-Петербург, Гороховая улица, д. 41, литера А",часть помещения,78:32:1145:7:36:9,79.9,исключен,911-рк от 28.11.2016,1100012677
Центральный,"191104, г.Санкт-Петербург, Литейный проспект, д. 51, литера А",часть помещения,78:31:1283:14:104:3,23.4,исключен,911-рк от 28.11.2016,300001885
Центральный,"191104, г.Санкт-Петербург, Литейный проспект, д. 51, литера А",помещение,78:31:0001283:4063,27.8,включен,237-р от 26.12.2008,300014192
Центральный,"191025, г.Санкт-Петербург, Невский проспект, д. 67, литера А",часть помещения,78:1220:20:73,400.2,включен,237-р от 26.12.2008,300079891
